Submission Date,Price,Quantity (grams),Quality,City (Census subdivision),Province,Primary Reason,Usage,Average Monthly Consumption (grams)
30/01/2018,200,28,Medium,st. john's,NL,Use recreationally,A few times per week,3.5
30/01/2018,200,28,Medium,st. john's,NL,Use recreationally,A few times per week,3.5
30/01/2018,45,14,Medium,st. john's,NL,Use recreationally,Daily,3.5
05/02/2018,10,1,High,st. john's,NL,Use recreationally,A few times per month,3.5
31/01/2018,10,1,High,st. john's,NL,Use recreationally,A few times per month,1
05/02/2018,110,14,High,st. john's,NL,Use recreationally,Daily,28
30/01/2018,7,1,Medium,st. john's,NL,Medicate without a medical document,A few times a year,1
30/01/2018,15,1,High,st. john's,NL,Use recreationally,A few times a year,0.5
31/01/2018,40,3.5,High,st. john's,NL,Use recreationally,A few times a year,0.5
25/01/2018,10,1,Low,st. john's,NL,Use recreationally,A few times a year,0.5
27/01/2018,10,1,High,st. john's,NL,Use recreationally,A few times a year,0.5
31/01/2018,10,1,Medium,st. john's,NL,Use recreationally,A few times per month,0.5
26/01/2018,270,28,High,st. john's,NL,Medicate without a medical document,A few times per week,0.5
30/01/2018,250,28,Medium,st. john's,NL,Use recreationally,A few times per week,0.5
30/01/2018,30,3.5,High,st. john's,NL,Use recreationally,A few times per month,0.5
01/02/2018,30,3.5,Medium,st. john's,NL,Use recreationally,A few times a year,0.5
04/02/2018,30,3.5,Medium,st. john's,NL,Use recreationally,A few times per month,0.5
30/01/2018,200,28,High,st. john's,NL,Use recreationally,A few times per month,0.5
31/01/2018,5,1,Medium,st. john's,NL,Use recreationally,A few times a year,0.2
26/01/2018,10,1,Low,st. john's,NL,Medicate with a medical document,Daily,0
26/01/2018,10,1,Medium,st. john's,NL,Medicate without a medical document,Daily,0
30/01/2018,10,1,High,st. john's,NL,Use recreationally,,0
30/01/2018,55,7,Medium,st. john's,NL,Use recreationally,A few times per week,0
01/02/2018,216,28,High,st. john's,NL,Medicate without a medical document,,0
30/01/2018,200,28,Medium,st. john's,NL,Use recreationally,Daily,0
30/01/2018,90,14,High,st. john's,NL,Medicate without a medical document,,0
01/02/2018,180,28,Medium,st. john's,NL,Use recreationally,,0
26/01/2018,6.4,1,Medium,st. john's,NL,Use recreationally,,0
26/01/2018,5,1,Medium,st. john's,NL,Use recreationally,,0
30/01/2018,5,1,High,st. john's,NL,Use recreationally,,0
31/01/2018,5,1,Medium,st. john's,NL,Use recreationally,A few times a year,0
01/02/2018,200,28,High,mount pearl,NL,Medicate without a medical document,A few times per week,14
03/02/2018,220,28,High,mount pearl,NL,Medicate without a medical document,Daily,7
02/02/2018,110,28,High,mount pearl,NL,Use recreationally,A few times per week,7
26/01/2018,7,1,High,mount pearl,NL,Use recreationally,A few times per month,0.5
26/01/2018,10,1,High,mount pearl,NL,Use recreationally,,0
26/01/2018,7,1,High,mount pearl,NL,Use recreationally,,0
31/01/2018,80,7,Medium,marystown,NL,Use recreationally,Daily,28
31/01/2018,200,28,High,marystown,NL,Use recreationally,Daily,28
30/01/2018,125,28,High,marystown,NL,Use recreationally,Daily,28
26/01/2018,20,1,Low,st. alban's,NL,Use recreationally,,0
31/01/2018,10,1,Low,stephenville,NL,Use recreationally,Daily,3.5
30/01/2018,90,14,High,stephenville,NL,Medicate without a medical document,A few times per week,0.5
31/01/2018,140,28,High,stephenville,NL,Medicate without a medical document,A few times per week,0
03/02/2018,75,7,Medium,cape st. george,NL,Use recreationally,Daily,30
31/01/2018,120,28,High,deer lake,NL,Use recreationally,Daily,28
31/01/2018,200,28,High,corner brook,NL,Use recreationally,Daily,112
05/02/2018,310.1,45,High,corner brook,NL,Medicate with a medical document,Daily,60
31/01/2018,60,7,High,corner brook,NL,Medicate without a medical document,Daily,35
31/01/2018,10,1,Medium,corner brook,NL,Use recreationally,Daily,30
02/02/2018,160,28,High,corner brook,NL,Use recreationally,Daily,30
30/01/2018,40,3.5,Medium,corner brook,NL,Use recreationally,Daily,28
31/01/2018,10,1,High,corner brook,NL,Use recreationally,Daily,28
26/01/2018,160,28,High,corner brook,NL,Use recreationally,Daily,28
30/01/2018,80,14,Medium,corner brook,NL,Use recreationally,Daily,28
01/02/2018,100,28,Medium,corner brook,NL,Use recreationally,Daily,28
30/01/2018,15,1,High,corner brook,NL,Use recreationally,Daily,14
01/02/2018,100,14,High,corner brook,NL,Use recreationally,Daily,14
31/01/2018,85,14,Medium,corner brook,NL,Use recreationally,A few times per week,14
31/01/2018,6,1,High,corner brook,NL,Medicate without a medical document,Daily,14
30/01/2018,125,14,High,corner brook,NL,Medicate without a medical document,A few times per week,7
01/02/2018,100,28,High,corner brook,NL,Medicate with a medical document,Daily,3.5
31/01/2018,10,1,Medium,corner brook,NL,Use recreationally,A few times a year,1
30/01/2018,150,28,Medium,corner brook,NL,Use recreationally,A few times per week,0.5
01/02/2018,200,28,High,corner brook,NL,Medicate without a medical document,,0
30/01/2018,6,1,High,gander,NL,Use recreationally,,0
31/01/2018,150,28,High,grand falls-windsor,NL,Medicate without a medical document,Daily,56
01/02/2018,5,1,High,grand falls-windsor,NL,Medicate without a medical document,Daily,50
30/01/2018,15,1,High,grand falls-windsor,NL,Use recreationally,Daily,35
30/01/2018,40,7,High,grand falls-windsor,NL,Medicate without a medical document,Daily,7
30/01/2018,50,7,High,grand falls-windsor,NL,Use recreationally,A few times per week,3.5
02/02/2018,90,14,Medium,grand falls-windsor,NL,Medicate without a medical document,,0
30/01/2018,10,1,High,clarenville,NL,Use recreationally,A few times a year,0.2
31/01/2018,50,7,High,lewisporte,NL,Medicate without a medical document,Daily,28
30/01/2018,20,1,Low,fogo island,NL,Medicate without a medical document,,0
30/01/2018,40,7,High,charlottetown (labrador),NL,Medicate without a medical document,Daily,15
31/01/2018,240,28,High,happy valley-goose bay,NL,Medicate without a medical document,A few times per week,3.5
01/02/2018,190,28,High,labrador city,NL,Medicate without a medical document,Daily,56
30/01/2018,230,28,High,labrador city,NL,Use recreationally,,0
05/02/2018,10,1,Medium,wabush,NL,Use recreationally,,0
30/01/2018,60,7,High,montague,PE,Medicate without a medical document,Daily,28
01/02/2018,120,28,High,montague,PE,Medicate without a medical document,Daily,28
26/01/2018,35,3.5,Medium,montague,PE,Use recreationally,,0
01/02/2018,15,1,Low,souris,PE,Medicate without a medical document,A few times a year,0.5
03/02/2018,10,1,Medium,souris,PE,Use recreationally,A few times a year,0.5
01/02/2018,120,28,Medium,souris,PE,Medicate without a medical document,,0
02/02/2018,200,28,Low,charlottetown,PE,Medicate without a medical document,Daily,190
31/01/2018,240,28,High,charlottetown,PE,Medicate with a medical document,Daily,90
01/02/2018,180,28,Medium,charlottetown,PE,Medicate with a medical document,Daily,90
30/01/2018,100,14,High,charlottetown,PE,Medicate without a medical document,Daily,56
31/01/2018,180,28,High,charlottetown,PE,Medicate without a medical document,Daily,56
03/02/2018,120,28,Medium,charlottetown,PE,Use recreationally,Daily,56
31/01/2018,150,20,Medium,charlottetown,PE,Medicate without a medical document,Daily,40
31/01/2018,150,28,High,charlottetown,PE,Medicate without a medical document,Daily,30
31/01/2018,125,28,Medium,charlottetown,PE,Use recreationally,Daily,30
31/01/2018,145,14,High,charlottetown,PE,Medicate with a medical document,Daily,28
30/01/2018,10,1,Medium,charlottetown,PE,Use recreationally,Daily,28
31/01/2018,40,5,Medium,charlottetown,PE,Medicate without a medical document,Daily,28
30/01/2018,220,28,High,charlottetown,PE,Medicate without a medical document,Daily,28
01/02/2018,110,14,High,charlottetown,PE,Medicate without a medical document,Daily,28
31/01/2018,100,14,High,charlottetown,PE,Use recreationally,Daily,28
31/01/2018,100,14,Medium,charlottetown,PE,Medicate without a medical document,Daily,28
31/01/2018,50,7,High,charlottetown,PE,Medicate without a medical document,Daily,28
30/01/2018,180,28,High,charlottetown,PE,Use recreationally,Daily,28
30/01/2018,180,28,High,charlottetown,PE,Medicate without a medical document,A few times per week,28
31/01/2018,6,1,High,charlottetown,PE,Medicate without a medical document,Daily,28
26/01/2018,160,28,High,charlottetown,PE,Use recreationally,Daily,28
31/01/2018,80,14,Medium,charlottetown,PE,Use recreationally,Daily,28
31/01/2018,160,28,High,charlottetown,PE,Use recreationally,Daily,28
26/01/2018,150,28,Medium,charlottetown,PE,Use recreationally,Daily,28
30/01/2018,140,28,High,charlottetown,PE,Medicate without a medical document,Daily,28
30/01/2018,70,14,High,charlottetown,PE,Use recreationally,Daily,28
01/02/2018,5,1,High,charlottetown,PE,Medicate without a medical document,Daily,28
26/01/2018,550,112,High,charlottetown,PE,Medicate without a medical document,Daily,28
31/01/2018,125,28,Medium,charlottetown,PE,Use recreationally,Daily,28
30/01/2018,100,28,Medium,charlottetown,PE,Medicate without a medical document,Daily,28
26/01/2018,90,28,High,charlottetown,PE,Use recreationally,Daily,28
31/01/2018,60,7,Medium,charlottetown,PE,Medicate without a medical document,Daily,14
03/02/2018,60,7,Medium,charlottetown,PE,Use recreationally,Daily,14
31/01/2018,60,7,Medium,charlottetown,PE,Use recreationally,A few times per week,14
31/01/2018,30,3.5,Medium,charlottetown,PE,Use recreationally,A few times per month,14
25/01/2018,42.5,5,High,charlottetown,PE,Medicate with a medical document,Daily,14
31/01/2018,25,3.5,High,charlottetown,PE,Medicate without a medical document,Daily,14
31/01/2018,50,7,High,charlottetown,PE,Use recreationally,Daily,14
01/02/2018,180,28,Medium,charlottetown,PE,Medicate without a medical document,Daily,14
31/01/2018,6,1,Medium,charlottetown,PE,Use recreationally,Daily,14
31/01/2018,40,7,Medium,charlottetown,PE,Use recreationally,Daily,14
26/01/2018,40,7,High,charlottetown,PE,Medicate without a medical document,A few times per week,14
31/01/2018,60,14,High,charlottetown,PE,Use recreationally,A few times per week,14
31/01/2018,115,28,High,charlottetown,PE,Use recreationally,Daily,14
31/01/2018,30,3.5,Medium,charlottetown,PE,Use recreationally,Daily,7
30/01/2018,30,3.5,Medium,charlottetown,PE,Use recreationally,A few times per week,7
30/01/2018,60,7,High,charlottetown,PE,Use recreationally,A few times per month,7
30/01/2018,55,7,Medium,charlottetown,PE,Use recreationally,A few times per month,7
31/01/2018,110,14,Medium,charlottetown,PE,Use recreationally,A few times per week,7
31/01/2018,6,1,Medium,charlottetown,PE,Medicate without a medical document,Daily,7
31/01/2018,100,28,Medium,charlottetown,PE,Use recreationally,A few times per week,7
05/02/2018,8,1,High,charlottetown,PE,Use recreationally,A few times a year,0.5
31/01/2018,10,1,Medium,charlottetown,PE,Use recreationally,Daily,3.5
31/01/2018,10,1,High,charlottetown,PE,Use recreationally,Daily,3.5
31/01/2018,200,28,High,charlottetown,PE,Use recreationally,A few times per week,3.5
31/01/2018,50,7,Medium,charlottetown,PE,Use recreationally,A few times per week,3.5
02/02/2018,50,7,Medium,charlottetown,PE,Use recreationally,A few times per month,3.5
02/02/2018,160,28,High,charlottetown,PE,Use recreationally,Daily,3.5
31/01/2018,5,1,Medium,charlottetown,PE,Use recreationally,A few times per month,3.5
30/01/2018,4.5,1,Medium,charlottetown,PE,Medicate with a medical document,Daily,3.5
31/01/2018,120,28,High,charlottetown,PE,Medicate without a medical document,Daily,3.5
26/01/2018,50,14,Medium,charlottetown,PE,Use recreationally,A few times per month,3.5
05/02/2018,8,1,High,charlottetown,PE,Use recreationally,A few times per week,0.5
31/01/2018,45,3.5,Medium,charlottetown,PE,Use recreationally,A few times per month,1
31/01/2018,10,1,High,charlottetown,PE,Use recreationally,A few times per month,1
02/02/2018,10,1,Medium,charlottetown,PE,Medicate without a medical document,A few times per month,1
31/01/2018,9,1,Medium,charlottetown,PE,Use recreationally,A few times per month,1
05/02/2018,250,28,High,charlottetown,PE,Medicate without a medical document,Daily,0.5
30/01/2018,30,3.5,High,charlottetown,PE,Use recreationally,A few times a year,1
31/01/2018,50,7,Medium,charlottetown,PE,Medicate without a medical document,A few times per week,1
31/01/2018,50,7,Medium,charlottetown,PE,Medicate without a medical document,A few times per month,1
30/01/2018,60,7,Medium,charlottetown,PE,Medicate without a medical document,A few times a year,0.5
01/02/2018,6,1,Medium,charlottetown,PE,Use recreationally,A few times per month,0.5
31/01/2018,10,1,Medium,charlottetown,PE,Use recreationally,Daily,0
31/01/2018,10,1,Low,charlottetown,PE,Use recreationally,,0
01/02/2018,35,3.5,Medium,charlottetown,PE,Medicate without a medical document,,0
01/02/2018,9,1,High,charlottetown,PE,Use recreationally,,0
30/01/2018,60,7,High,charlottetown,PE,Use recreationally,,0
30/01/2018,60,7,High,charlottetown,PE,Medicate without a medical document,,0
31/01/2018,120,14,Medium,charlottetown,PE,Use recreationally,,0
31/01/2018,60,7,High,charlottetown,PE,Medicate without a medical document,,0
31/01/2018,60,7,Low,charlottetown,PE,Medicate without a medical document,,0
30/01/2018,8,1,High,charlottetown,PE,Use recreationally,,0
30/01/2018,7.5,1,High,charlottetown,PE,Medicate without a medical document,,0
30/01/2018,50,7,High,charlottetown,PE,Medicate with a medical document,,0
31/01/2018,50,7,High,charlottetown,PE,Use recreationally,,0
31/01/2018,100,14,High,charlottetown,PE,Use recreationally,,0
01/02/2018,180,28,Medium,charlottetown,PE,Medicate with a medical document,Daily,0
26/01/2018,350,56,High,charlottetown,PE,Use recreationally,,0
01/02/2018,5,1,High,charlottetown,PE,Use recreationally,,0
01/02/2018,125,28,,charlottetown,PE,Medicate without a medical document,Daily,0
30/01/2018,100,28,Low,charlottetown,PE,Use recreationally,,0
30/01/2018,100,28,High,charlottetown,PE,Use recreationally,,0
31/01/2018,25,3.5,High,kensington,PE,Medicate without a medical document,Daily,7
31/01/2018,308,28,High,summerside,PE,Medicate with a medical document,Daily,225
31/01/2018,180,28,High,summerside,PE,Medicate with a medical document,Daily,110
30/01/2018,10,1,High,summerside,PE,Medicate without a medical document,Daily,30
31/01/2018,50,7,Medium,summerside,PE,Use recreationally,Daily,30
03/02/2018,130,28,Medium,summerside,PE,Use recreationally,Daily,28
30/01/2018,40,10,High,summerside,PE,Medicate with a medical document,Daily,28
31/01/2018,130,28,High,summerside,PE,Medicate without a medical document,Daily,14
03/02/2018,50,7,High,summerside,PE,Use recreationally,A few times per week,7
30/01/2018,180,28,Medium,summerside,PE,Use recreationally,A few times per week,7
06/02/2018,112,28,High,summerside,PE,Use recreationally,Daily,28
31/01/2018,45,7,Medium,summerside,PE,Use recreationally,A few times per week,0.5
02/02/2018,150,28,Medium,summerside,PE,Use recreationally,,0
02/02/2018,80,14,High,o'leary,PE,Medicate without a medical document,Daily,14
28/01/2018,5,1,Medium,o'leary,PE,Use recreationally,,0
01/02/2018,80,14,High,alberton,PE,Use recreationally,Daily,28
31/01/2018,10,1,Medium,alberton,PE,Medicate without a medical document,A few times per month,1
31/01/2018,5,1,Medium,barrington,NS,Use recreationally,Daily,7
31/01/2018,160,20,High,shelburne,NS,Use recreationally,Daily,31
30/01/2018,10,1,Medium,lockeport,NS,Use recreationally,A few times a year,0.5
04/02/2018,5,1,Medium,yarmouth,NS,Medicate without a medical document,A few times per week,56
30/01/2018,220,28,High,yarmouth,NS,Use recreationally,Daily,40
30/01/2018,180,28,Medium,yarmouth,NS,Use recreationally,Daily,40
31/01/2018,45,7,Medium,yarmouth,NS,Use recreationally,Daily,40
31/01/2018,10,1,Medium,yarmouth,NS,Medicate without a medical document,Daily,28
30/01/2018,200,28,High,yarmouth,NS,Use recreationally,Daily,28
30/01/2018,20,3.5,High,yarmouth,NS,Medicate without a medical document,Daily,14
30/01/2018,40,6,Medium,yarmouth,NS,Use recreationally,Daily,4
30/01/2018,150,28,,yarmouth,NS,Use recreationally,Daily,3.5
31/01/2018,10,1,High,yarmouth,NS,Medicate without a medical document,A few times per week,1
30/01/2018,50,7,High,yarmouth,NS,Use recreationally,A few times per month,0.5
30/01/2018,200,28,High,yarmouth,NS,Medicate with a medical document,A few times per week,0.5
31/01/2018,50,7,High,yarmouth,NS,Medicate with a medical document,,0
05/02/2018,120,28,Medium,yarmouth,NS,Medicate with a medical document,Daily,0
31/01/2018,5,1,High,yarmouth 33,NS,Use recreationally,Daily,7
31/01/2018,6,1,Medium,yarmouth 33,NS,Medicate without a medical document,,0
31/01/2018,40,7,Medium,digby,NS,Medicate without a medical document,Daily,28
25/01/2018,9,1,High,queens,NS,Use recreationally,Daily,30
27/01/2018,140,28,High,queens,NS,Use recreationally,A few times per week,28
01/02/2018,11,1,High,queens,NS,Use recreationally,A few times per week,3.5
27/01/2018,200,28,High,annapolis royal,NS,Use recreationally,A few times per week,1
27/01/2018,140,28,High,annapolis royal,NS,Medicate without a medical document,Daily,0
30/01/2018,150,28,High,middleton,NS,Medicate with a medical document,Daily,120
25/01/2018,100,14,Medium,middleton,NS,Medicate without a medical document,A few times per week,3.5
31/01/2018,100,28,Medium,middleton,NS,Medicate without a medical document,A few times per month,1
30/01/2018,100,28,Medium,middleton,NS,Medicate without a medical document,A few times per month,0.5
31/01/2018,40,5,High,lunenburg,NS,Medicate without a medical document,A few times a year,3.5
01/02/2018,180.04,28,High,bridgewater,NS,Medicate without a medical document,Daily,112
02/02/2018,150,28,High,bridgewater,NS,Use recreationally,Daily,60
02/02/2018,120,28,Medium,bridgewater,NS,Medicate without a medical document,Daily,60
30/01/2018,120,30,High,bridgewater,NS,Medicate without a medical document,Daily,60
30/01/2018,117,30,Medium,bridgewater,NS,Medicate without a medical document,Daily,60
30/01/2018,8,1,High,bridgewater,NS,Medicate with a medical document,Daily,30
30/01/2018,175,28,High,bridgewater,NS,Use recreationally,Daily,30
30/01/2018,1800,450,High,bridgewater,NS,Use recreationally,Daily,3.5
30/01/2018,8,1,High,bridgewater,NS,Medicate without a medical document,A few times per month,1
02/02/2018,4,1,Medium,chester,NS,Medicate without a medical document,Daily,35
06/02/2018,12,1,High,chester,NS,Medicate with a medical document,Daily,1
03/02/2018,144,30,High,cambridge 32,NS,Medicate with a medical document,Daily,28
28/01/2018,150,28,High,berwick,NS,Medicate with a medical document,Daily,100
30/01/2018,200,28,High,kentville,NS,Medicate without a medical document,Daily,56
01/02/2018,40,7,Medium,kentville,NS,Use recreationally,Daily,56
31/01/2018,140,28,Medium,kentville,NS,Medicate without a medical document,Daily,56
30/01/2018,90,14,Medium,kentville,NS,Medicate without a medical document,Daily,35
26/01/2018,160,28,Medium,kentville,NS,Medicate without a medical document,Daily,30
31/01/2018,150,28,Medium,kentville,NS,Medicate without a medical document,Daily,30
30/01/2018,200,28,Medium,kentville,NS,Use recreationally,Daily,28
31/01/2018,100,14,High,kentville,NS,Medicate without a medical document,Daily,28
30/01/2018,89.88,14,High,kentville,NS,Use recreationally,Daily,28
02/02/2018,10,1,High,kentville,NS,Medicate without a medical document,Daily,14
30/01/2018,50,7,High,kentville,NS,Use recreationally,Daily,14
01/02/2018,100,14,High,kentville,NS,Use recreationally,Daily,14
30/01/2018,5,1,Medium,kentville,NS,Use recreationally,Daily,14
30/01/2018,6.4,1,High,kentville,NS,Use recreationally,,0
02/02/2018,99,28,High,wolfville,NS,Use recreationally,Daily,28
01/02/2018,100,14,Medium,wolfville,NS,Use recreationally,Daily,10
30/01/2018,9,1,High,wolfville,NS,Medicate without a medical document,Daily,7
31/01/2018,50,7,Medium,wolfville,NS,Medicate without a medical document,A few times per week,3.5
30/01/2018,7,1,Medium,wolfville,NS,Use recreationally,A few times per month,3.5
31/01/2018,10,1,Medium,wolfville,NS,Use recreationally,A few times a year,0.5
30/01/2018,20,2,Medium,wolfville,NS,Use recreationally,,0
02/02/2018,300,50,High,windsor,NS,Use recreationally,Daily,250
02/02/2018,8,1,High,windsor,NS,Medicate with a medical document,Daily,150
02/02/2018,5,1,Medium,windsor,NS,Use recreationally,Daily,100
03/02/2018,10,1,Medium,windsor,NS,Medicate without a medical document,Daily,14
02/02/2018,6,1,Medium,windsor,NS,Medicate without a medical document,Daily,14
30/01/2018,40,5,Medium,windsor,NS,Use recreationally,Daily,7
02/02/2018,7,1,High,windsor,NS,Medicate with a medical document,Daily,3.5
02/02/2018,6,1,Medium,windsor,NS,Medicate without a medical document,Daily,3.5
02/02/2018,75,14,Low,windsor,NS,Medicate without a medical document,Daily,3.5
03/02/2018,6,1,High,halifax,NS,Medicate with a medical document,Daily,200
30/01/2018,160,28,High,halifax,NS,Use recreationally,Daily,150
28/01/2018,7,1,Medium,halifax,NS,Medicate without a medical document,Daily,120
31/01/2018,6,1,High,halifax,NS,Medicate with a medical document,Daily,120
30/01/2018,5,1,High,halifax,NS,Use recreationally,Daily,120
31/01/2018,100,20,High,halifax,NS,Medicate with a medical document,Daily,120
31/01/2018,50,10,High,halifax,NS,Medicate with a medical document,Daily,120
31/01/2018,112,28,Medium,halifax,NS,Medicate with a medical document,Daily,120
02/02/2018,200,28,High,halifax,NS,Medicate with a medical document,Daily,112
30/01/2018,185,28,High,halifax,NS,Medicate without a medical document,Daily,112
30/01/2018,250,50,High,halifax,NS,Use recreationally,Daily,100
30/01/2018,80,28,High,halifax,NS,Medicate without a medical document,Daily,100
30/01/2018,190,28,High,halifax,NS,Use recreationally,Daily,90
30/01/2018,185,28,High,halifax,NS,Medicate with a medical document,Daily,90
28/01/2018,30,5,High,halifax,NS,Medicate with a medical document,Daily,90
30/01/2018,6,1,Medium,halifax,NS,Medicate with a medical document,Daily,90
30/01/2018,6,1,Medium,halifax,NS,Medicate with a medical document,Daily,90
